a,b,Audio,Battery,Battery_Value,Built-in Apps,Camera,Color,Dimensions (W x D x H),Disclaimer,Display,Ecolabels & Compliances,Expansion Slots (includes used),I/O Ports,Included in the Box,Keyboard & Touchpad,Memory,Microsoft Office,Military Grade,MyASUS Features,Network and Communication,OLED,Operating System,Power Supply,Security,Storage,Weight,Neural Processor,ASUS Exclusive technology,Additional Display,AURA SYNC,Keyboard and Touchpad,Note,Xbox Game Pass,Graphics,Model,G3d_mark,G2d_mark,Tdp,Category,Processor,Model.1,Cores,Cpu_mark,Thread_mark,Tdp_1,Socket,Price,Weight_value,RefreshRate,Unnamed: 52,position.page,position.position,position.global_position,asin,price.discounted,price.current_price,price.currency,price.before_price,price.savings_amount,price.savings_percent,reviews_total_reviews,reviews_rating,url,score,sponsored,amazonChoice,bestSeller,amazonPrime,title,thumbnail,ASIN,Title,URL,Item Available,Price.1,Main Image,Total Images,Images,Delivery Message,Product Information,Badges
ASUS TUF Gaming F15 (2022),FX507ZE,"Dolby Atmos
AI noise-canceling technology
Hi-Res certification (for headphone)
Built-in array microphone
2-speaker system","90WHrs, 4S1P, 4-cell Li-ion",90,No information,720P HD camera,No information,"35.4 x 25.1 x 2.24 ~ 2.49 cm (13.94"" x 9.88"" x 0.88"" ~ 0.98"")",No information,"39.62cm (15.6), FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, sRGB:62.50%, Adobe:47.34%, Refresh Rate:144Hz, MUX Switch + Optimus",No information,No information,"1x 3.5mm Combo Audio Jack
1x HDMI 2.0b
2x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / G-SYNC
1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™",*Included accessories vary according to country and territory. Please check with your local ASUS retailer for details,No information,"8GB DDR5-4800 SO-DIMM x 2, Max Capacity:32GB, Support dual channel memory",Office Home and Student,No information,No information,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.2 Wireless Card (*Bluetooth® version may change with OS version different.),No information,"Windows 11 Home
Windows 11 Home + Office 2019 *","ø6.0, 200W AC Adapter, Output: 20V DC, 10A, 200W, Input: 100-240V AC, 50/60Hz universal","BIOS Administrator Password and User Password Protection
Kensington Security Slot™
Trusted Platform Module (Firmware TPM)
McAfee® 1 year","512GB M.2 NVMe™ PCIe® 3.0 SSD, Supports upto Gen 4 SSD
1TB M.2 NVMe™ PCIe 3.0 SSD
Supports Up to Gen 4 SSD",2.20 Kg (4.85 lbs),No information,No information,No information,Yes,"Backlit Chiclet Keyboard 1-Zone RGB
Touchpad",No information,"Xbox Game Pass Ultimate_1 month (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Ultimate. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)","NVIDIA® GeForce RTX™ 3060 Laptop GPU, 115W (140W with Dynamic Boost)6GB GDDR6, NVIDIA® GeForce RTX™ 3050 Ti Laptop GPU, 80W (95W with Dynamic Boost)4GB GDDR6, NVIDIA® GeForce RTX™ 3050 Laptop GPU, 60W (75W with Dynamic Boost)4GB GDDR6",GeForce RTX 3060 Laptop GPU,13368.0,589,115,Mobile,"12th Gen Intel Core i7-12700H Processor 2.3 GHz (24M Cache, up to 4.7 GHz, 14 cores: 6 P-cores and 8 E-cores)",Intel Core i7-12700H,14,26231.0,3591.0,45,FCBGA1744,70990.0,2.2,144Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS TUF Gaming F15 (2022),FX507ZM,"Dolby Atmos
AI noise-canceling technology
Hi-Res certification (for headphone)
Built-in array microphone
2-speaker system","90WHrs, 4S1P, 4-cell Li-ion",90,No information,720P HD camera,No information,"35.4 x 25.1 x 2.24 ~ 2.49 cm (13.94"" x 9.88"" x 0.88"" ~ 0.98"")",No information,"39.62cm (15.6), FHD (1920 x 1080) 16:9, IPS-level, Anti-glare display, sRGB:100%, Adobe:75.35%, Refresh Rate:300Hz, MUX Switch + Optimus
39.62cm (15.6), WQHD (2560 x 1440) 16:9, IPS-level, Anti-glare display, DCI-P3:100%, Refresh Rate:165Hz, MUX Switch + Optimus",No information,No information,"1x 3.5mm Combo Audio Jack
1x HDMI 2.0b
2x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / G-SYNC
1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™",*Included accessories vary according to country and territory. Please check with your local ASUS retailer for details,No information,"8GB DDR5-4800 SO-DIMM x 2, Max Capacity:32GB, Support dual channel memory",Office Home and Student,No information,No information,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.2 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home,"ø6.0, 240W AC Adapter, Output: 20V DC, 12A, 240W, Input: 100~240C AC 50/60Hz universal","BIOS Administrator Password and User Password Protection
Kensington Security Slot™
Trusted Platform Module (Firmware TPM)
McAfee® 1 year","1TB M.2 NVMe™ PCIe 3.0 SSD
Supports Up to Gen 4 SSD",2.20 Kg (4.85 lbs),No information,No information,No information,Yes,"Backlit Chiclet Keyboard 1-Zone RGB
Touchpad",No information,"Xbox Game Pass Ultimate_1 month (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Ultimate. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)","NVIDIA® GeForce RTX™ 3060 Laptop GPU, 115W (140W with Dynamic Boost)6GB GDDR6, NVIDIA® GeForce RTX™ 3050 Ti Laptop GPU, 80W (95W with Dynamic Boost)4GB GDDR6",GeForce RTX 3060 Laptop GPU,13368.0,589,115,Mobile,"12th Gen Intel Core i7-12700H Processor 2.3 GHz (24M Cache, up to 4.7 GHz, 14 cores: 6 P-cores and 8 E-cores)",Intel Core i7-12700H,14,26231.0,3591.0,45,FCBGA1744,70990.0,2.2,300Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS TUF Gaming F15 (2022),FX507ZC4,"Dolby Atmos
AI noise-canceling technology
Hi-Res certification (for headphone)
Built-in array microphone
2-speaker system","90WHrs, 4S1P, 4-cell Li-ion",90,No information,720P HD camera,No information,"35.4 x 25.1 x 2.24 ~ 2.49 cm (13.94"" x 9.88"" x 0.88"" ~ 0.98"")",No information,"39.62cm (15.6), FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, sRGB:62.50%, Adobe:47.34%, Refresh Rate:144Hz, MUX Switch + Optimus",No information,No information,"1x 3.5mm Combo Audio Jack
1x HDMI 2.0b
2x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / G-SYNC
1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™",*Included accessories vary according to country and territory. Please check with your local ASUS retailer for details,No information,"8GB DDR4-3200 SO-DIMM, Max Capacity:32GB, Support dual channel memory
8GB DDR4-3200 SO-DIMM x 2, Max Capacity:32GB, Support dual channel memory",Office Home and Student,No information,No information,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.2 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home,"ø6.0, 200W AC Adapter, Output: 20V DC, 10A, 200W, Input: 100-240V AC, 50/60Hz universal","BIOS Administrator Password and User Password Protection
Kensington Security Slot™
Trusted Platform Module (Firmware TPM)
McAfee® 1 year","512GB M.2 NVMe™ PCIe® 3.0 SSD, Supports upto Gen 4 SSD
1TB M.2 NVMe™ PCIe 3.0 SSD
Supports Up to Gen 4 SSD","2.20 Kg (4.85 lbs)
2.20 Kg ( lbs)",No information,No information,No information,Yes,"Backlit Chiclet Keyboard 1-Zone RGB
Touchpad",No information,"Xbox Game Pass Ultimate_3 months (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Ultimate. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)","1790MHz* at 95W (1740MHz Boost Clock+50MHz OC, 80W+15W Dynamic Boost), NVIDIA® GeForce RTX™ 3050 Laptop GPU, 60W (75W with Dynamic Boost)4GB GDDR6",GeForce RTX 3050 4GB Laptop GPU,6884.0,408,80,Mobile,"12th Gen Intel Core i5-12500H Processor 2.5 GHz (18M Cache, up to 4.5 GHz, 12 cores: 4 P-cores and 8 E-cores)",Intel Core i5-12500H,12,21252.0,3480.0,45,FCBGA1744,70990.0,2.2,144Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS TUF Gaming F15 (2022),FX507ZC4,"Dolby Atmos
AI noise-canceling technology
Hi-Res certification (for headphone)
Built-in array microphone
2-speaker system","90WHrs, 4S1P, 4-cell Li-ion",90,No information,720P HD camera,No information,"35.4 x 25.1 x 2.24 ~ 2.49 cm (13.94"" x 9.88"" x 0.88"" ~ 0.98"")",No information,"39.62cm (15.6), FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, sRGB:62.50%, Adobe:47.34%, Refresh Rate:144Hz, MUX Switch + Optimus",No information,No information,"1x 3.5mm Combo Audio Jack
1x HDMI 2.0b
2x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / G-SYNC
1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™",*Included accessories vary according to country and territory. Please check with your local ASUS retailer for details,No information,"8GB DDR4-3200 SO-DIMM, Max Capacity:32GB, Support dual channel memory
8GB DDR4-3200 SO-DIMM x 2, Max Capacity:32GB, Support dual channel memory",Office Home and Student,No information,No information,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.2 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home,"ø6.0, 200W AC Adapter, Output: 20V DC, 10A, 200W, Input: 100-240V AC, 50/60Hz universal","BIOS Administrator Password and User Password Protection
Kensington Security Slot™
Trusted Platform Module (Firmware TPM)
McAfee® 1 year","512GB M.2 NVMe™ PCIe® 3.0 SSD, Supports upto Gen 4 SSD
1TB M.2 NVMe™ PCIe 3.0 SSD
Supports Up to Gen 4 SSD","2.20 Kg (4.85 lbs)
2.20 Kg ( lbs)",No information,No information,No information,Yes,"Backlit Chiclet Keyboard 1-Zone RGB
Touchpad",No information,"Xbox Game Pass Ultimate_3 months (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Ultimate. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)","1790MHz* at 95W (1740MHz Boost Clock+50MHz OC, 80W+15W Dynamic Boost), NVIDIA® GeForce RTX™ 3050 Laptop GPU, 60W (75W with Dynamic Boost)4GB GDDR6",GeForce RTX 3050 4GB Laptop GPU,6884.0,408,80,Mobile,"12th Gen Intel Core i7-12700H Processor 2.3 GHz (24M Cache, up to 4.7 GHz, 14 cores: 6 P-cores and 8 E-cores)",Intel Core i7-12700H,14,26231.0,3591.0,45,FCBGA1744,70990.0,2.2,144Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
2021 ASUS TUF Gaming F17,FX706HC,"DTS software
AI noise-canceling technology
Support Microsoft Cortana near field/far field
Built-in array microphone
2-speaker system","90WHrs, 4S1P, 4-cell Li-ion",90,No information,720P HD camera,No information,"39.9 x 26.9 x 2.21 ~ 2.39 cm (15.71"" x 10.59"" x 0.87"" ~ 0.94"")
39.9 x 26.9 x 2.33 ~ 2.48 cm (15.71"" x 10.59"" x 0.92"" ~ 0.98"")",No information,"43.94cm (17.3), FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, sRGB:62.5%, Adobe:47.34%, Refresh Rate:144Hz, Optimus",No information,No information,"1x 3.5mm Combo Audio Jack
1x HDMI 2.0b
3x USB 3.2 Gen 1 Type-A
1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™
(Device features only one Type-C port. Thunderbolt™ 4 support might vary depending on model.)",*Included accessories vary according to country and territory. Please check with your local ASUS retailer for details,No information,"8GB DDR4-3200 SO-DIMM, Max Capacity:32GB",No information,No information,No information,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,"Windows 10 Home (Free upgrade to Windows 11, when available)","ø6.0, 180W AC Adapter, Output: 20V DC, 9A, 180W, Input: 100~240V AC, 50/60Hz universal","BIOS Administrator Password and User Password Protection
Kensington Security Slot™
Trusted Platform Module (Firmware TPM)","1TB M.2 NVMe™ PCIe 3.0 SSD
Supports Up to Gen 4 SSD",2.60 Kg (5.73 lbs),No information,No information,No information,No information,"Backlit Chiclet Keyboard 1-Zone RGB
Touchpad",¹Upgrade timing may vary by device. Features and app availability may vary by region. Certain features require specific hardware (see https://www.microsoft.com/en-us/windows/windows-11-specifications).,"Xbox Game Pass Ultimate_1 month (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Ultimate. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)","Up to 1600MHz at 60W (75W with Dynamic Boost), NVIDIA® GeForce RTX™ 3050 Laptop GPU, 60W (75W with Dynamic Boost)4GB GDDR6",GeForce RTX 3050 4GB Laptop GPU,6884.0,408,80,Mobile,"Intel Core i5-11400H Processor 2.7 GHz (12M Cache, up to 4.5 GHz, 6 Cores)",Intel Core i5-11400H @ 2.70GHz,6,15682.0,3005.0,45,FCBGA1787,53990.0,2.6,144Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
2021 ASUS TUF Gaming F17,TUF706HE,"DTS software
AI noise-canceling technology
Built-in array microphone
2-speaker system","90WHrs, 4S1P, 4-cell Li-ion",90,No information,720P HD camera,No information,"39.9 x 26.9 x 2.21 ~ 2.39 cm (15.71"" x 10.59"" x 0.87"" ~ 0.94"")
39.9 x 26.9 x 2.33 ~ 2.48 cm (15.71"" x 10.59"" x 0.92"" ~ 0.98"")",No information,"43.94cm (17.3), FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, sRGB:62.5%, Adobe:47.34%, Refresh Rate:144Hz, Optimus",No information,No information,"1x 3.5mm Combo Audio Jack
1x HDMI 2.0b
3x USB 3.2 Gen 1 Type-A
1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™",*Included accessories vary according to country and territory. Please check with your local ASUS retailer for details,No information,"8GB DDR4-3200 SO-DIMM x 2, Max Capacity:32GB",No information,No information,No information,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,"Windows 10 Home (Free upgrade to Windows 11, when available)","ø6.0, 180W AC Adapter, Output: 20V DC, 9A, 180W, Input: 100~240V AC, 50/60Hz universal","BIOS Administrator Password and User Password Protection
Kensington Security Slot™
Trusted Platform Module (Firmware TPM)","512GB M.2 NVMe™ PCIe® 3.0 SSD, Supports upto Gen 4 SSD",2.60 Kg (5.73 lbs),No information,No information,No information,No information,"Backlit Chiclet Keyboard 1-Zone RGB
Touchpad",¹Upgrade timing may vary by device. Features and app availability may vary by region. Certain features require specific hardware (see https://www.microsoft.com/en-us/windows/windows-11-specifications).,"Xbox Game Pass Ultimate_1 month (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Ultimate. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)","NVIDIA® GeForce RTX™ 3060 Laptop GPU, 115W (140W with Dynamic Boost)6GB GDDR6, Up to 1585MHz at 60W (75W with Dynamic Boost), NVIDIA® GeForce RTX™ 3050 Laptop GPU, 60W (75W with Dynamic Boost)4GB GDDR6",GeForce RTX 3060 Laptop GPU,13368.0,589,115,Mobile,"Intel Core i5-11400H Processor 2.7 GHz (12M Cache, up to 4.5 GHz, 6 Cores)",Intel Core i5-11400H @ 2.70GHz,6,15682.0,3005.0,45,FCBGA1787,53990.0,2.6,144Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
2021 ASUS TUF Gaming F17,FX706HF,"DTS software
AI noise-canceling technology
Support Microsoft Cortana near field/far field
Built-in array microphone
2-speaker system","48WHrs, 3S1P, 3-cell Li-ion",48,No information,720P HD camera,No information,"39.9 x 26.9 x 2.33 ~ 2.48 cm (15.71"" x 10.59"" x 0.92"" ~ 0.98"")",No information,"43.94cm (17.3), FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, sRGB:62.5%, Adobe:47.34%, Refresh Rate:144Hz, Optimus
43.94cm (17.3), FHD (1920 x 1080) 16:9, IPS-level, Anti-glare display, sRGB:NA, Adobe:NA, DCI-P3:100%, Refresh Rate:165Hz, Optimus",No information,No information,"1x 3.5mm Combo Audio Jack
1x HDMI 2.0b
3x USB 3.2 Gen 1 Type-A
1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™",No information,No information,"8GB DDR4-3200 SO-DIMM, Max Capacity:32GB
8GB DDR4-3200 SO-DIMM x 2, Max Capacity:32GB",Office Home and Student,No information,No information,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home,"ø4.5, 150W AC Adapter, Output: 20V DC, 7.5A, 150W, Input: 100~240V AC, 50/60Hz universal","BIOS Administrator Password and User Password Protection
Kensington Nano Security Slot™
Trusted Platform Module (Firmware TPM)
McAfee® 1 year","512GB M.2 NVMe™ PCIe® 3.0 SSD, Supports upto Gen 4 SSD
1TB M.2 NVMe™ PCIe 3.0 SSD
Supports Up to Gen 4 SSD",2.60 Kg (5.73 lbs),No information,No information,No information,No information,"Backlit Chiclet Keyboard 1-Zone RGB
Touchpad",No information,"Xbox Game Pass Ultimate_3 months (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Ultimate. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)","NVIDIA® GeForce RTX™ 2050 Laptop GPU, Up to 1625MHz at 55W (TGP 70W with Dynamic Boost) *Vary by scenario, NVIDIA® GeForce RTX™ 3050 Laptop GPU, 60W (75W with Dynamic Boost)4GB GDDR6",GeForce RTX 2050,7662.0,467,45,Mobile,"Intel Core i5-11400H Processor 2.7 GHz (12M Cache, up to 4.5 GHz, 6 Cores)",Intel Core i5-11400H @ 2.70GHz,6,15682.0,3005.0,45,FCBGA1787,53990.0,2.6,144Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
2021 ASUS TUF Gaming F17,FX706HF,"DTS software
AI noise-canceling technology
Support Microsoft Cortana near field/far field
Built-in array microphone
2-speaker system","48WHrs, 3S1P, 3-cell Li-ion",48,No information,720P HD camera,No information,"39.9 x 26.9 x 2.33 ~ 2.48 cm (15.71"" x 10.59"" x 0.92"" ~ 0.98"")",No information,"43.94cm (17.3), FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, sRGB:62.5%, Adobe:47.34%, Refresh Rate:144Hz, Optimus
43.94cm (17.3), FHD (1920 x 1080) 16:9, IPS-level, Anti-glare display, sRGB:NA, Adobe:NA, DCI-P3:100%, Refresh Rate:165Hz, Optimus",No information,No information,"1x 3.5mm Combo Audio Jack
1x HDMI 2.0b
3x USB 3.2 Gen 1 Type-A
1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™",No information,No information,"8GB DDR4-3200 SO-DIMM, Max Capacity:32GB
8GB DDR4-3200 SO-DIMM x 2, Max Capacity:32GB",Office Home and Student,No information,No information,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home,"ø4.5, 150W AC Adapter, Output: 20V DC, 7.5A, 150W, Input: 100~240V AC, 50/60Hz universal","BIOS Administrator Password and User Password Protection
Kensington Nano Security Slot™
Trusted Platform Module (Firmware TPM)
McAfee® 1 year","512GB M.2 NVMe™ PCIe® 3.0 SSD, Supports upto Gen 4 SSD
1TB M.2 NVMe™ PCIe 3.0 SSD
Supports Up to Gen 4 SSD",2.60 Kg (5.73 lbs),No information,No information,No information,No information,"Backlit Chiclet Keyboard 1-Zone RGB
Touchpad",No information,"Xbox Game Pass Ultimate_3 months (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Ultimate. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)","NVIDIA® GeForce RTX™ 2050 Laptop GPU, Up to 1625MHz at 55W (TGP 70W with Dynamic Boost) *Vary by scenario, NVIDIA® GeForce RTX™ 3050 Laptop GPU, 60W (75W with Dynamic Boost)4GB GDDR6",GeForce RTX 3050 4GB Laptop GPU,6884.0,408,80,Mobile,"Intel Core i5-11260H Processor 2.9 GHz (12M Cache, up to 4.4 GHz, 6 Cores)",Intel Core i5-11260H @ 2.60GHz,6,15793.0,2933.0,45,FCBGA1787,53990.0,2.6,144Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
2021 ASUS TUF Gaming F15,FX506HC,"DTS software
AI noise-canceling technology
Support Microsoft Cortana near field/far field
Built-in array microphone
2-speaker system","90WHrs, 4S1P, 4-cell Li-ion",90,No information,720P HD camera,No information,"35.9 x 25.6 x 2.28 ~ 2.45 cm (14.13"" x 10.08"" x 0.90"" ~ 0.96"")",No information,"39.62cm (15.6), FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, sRGB:62.5%, Adobe:47.34%, Refresh Rate:144Hz, Optimus",No information,No information,"1x 3.5mm Combo Audio Jack
1x HDMI 2.0b
3x USB 3.2 Gen 1 Type-A
1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™",No information,No information,"8GB DDR4-3200 SO-DIMM, Max Capacity:32GB",Office Home and Student,No information,No information,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home,"ø6.0, 180W AC Adapter, Output: 20V DC, 9A, 180W, Input: 100~240V AC, 50/60Hz universal","BIOS Administrator Password and User Password Protection
Kensington Security Slot™
Trusted Platform Module (Firmware TPM)","1TB M.2 NVMe™ PCIe 3.0 SSD
Supports Up to Gen 4 SSD
512GB M.2 NVMe™ PCIe® 3.0 SSD, Supports upto Gen 4 SSD",2.30 Kg (5.07 lbs),No information,No information,No information,No information,"Backlit Chiclet Keyboard 1-Zone RGB
Touchpad",No information,"Xbox Game Pass Ultimate_1 month (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Ultimate. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)","Up to 1600MHz at 60W (75W with Dynamic Boost), NVIDIA® GeForce RTX™ 3050 Laptop GPU, 60W (75W with Dynamic Boost)4GB GDDR6",GeForce RTX 3050 4GB Laptop GPU,6884.0,408,80,Mobile,"Intel Core i5-11400H Processor 2.7 GHz (12M Cache, up to 4.5 GHz, 6 Cores)",Intel Core i5-11400H @ 2.70GHz,6,15682.0,3005.0,45,FCBGA1787,53990.0,2.3,144Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
2021 ASUS TUF Gaming F15,FX506HM,"DTS software
AI noise-canceling technology
Support Microsoft Cortana near field/far field
Built-in array microphone
2-speaker system","90WHrs, 4S1P, 4-cell Li-ion",90,No information,720P HD camera,No information,"35.9 x 25.6 x 2.28 ~ 2.45 cm (14.13"" x 10.08"" x 0.90"" ~ 0.96"")",No information,"39.62cm (15.6), FHD (1920 x 1080) 16:9, Value IPS-level, Anti-glare display, sRGB:62.5%, Adobe:47.34%, Refresh Rate:144Hz, Optimus",No information,No information,"1x 3.5mm Combo Audio Jack
1x HDMI 2.0b
3x USB 3.2 Gen 1 Type-A
1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™",No information,No information,"8GB DDR4-3200 SO-DIMM x 2, Max Capacity:32GB",Office Home and Student,No information,No information,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home,"ø6.0, 200W AC Adapter, Output: 20V DC, 10A, 200W, Input: 100-240V AC, 50/60Hz universal","BIOS Administrator Password and User Password Protection
Kensington Security Slot™
Trusted Platform Module (Firmware TPM)","512GB M.2 NVMe™ PCIe® 3.0 SSD, Supports upto Gen 4 SSD",2.30 Kg (5.07 lbs),No information,No information,No information,No information,"Backlit Chiclet Keyboard 1-Zone RGB
Touchpad",No information,"Xbox Game Pass Ultimate_1 month (*Terms and exclusions apply. Offer only available in eligible markets for Xbox Game Pass Ultimate. Eligible markets are determined at activation. Game catalog varies by region, device, and time.)","NVIDIA® GeForce RTX™ 3060 Laptop GPU, 115W (140W with Dynamic Boost)6GB GDDR6, Up to 1630MHz at 90W (95W with Dynamic Boost)",GeForce RTX 3060 Laptop GPU,13368.0,589,115,Mobile,"Intel Core i7-11800H Processor 2.3 GHz (24M Cache, up to 4.6 GHz, 8 Cores)",Intel Core i7-11800H @ 2.30GHz,8,20556.0,3082.0,45,FCBGA1787,53990.0,2.3,144Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
